date,open,high,low,close,volume,num_trades
2022-09-14 06:00:00,1613.3,1617.69,1603.57,1607.85,18869.0476,37093
2022-09-14 07:00:00,1607.86,1618.28,1598.8,1612.14,27718.3383,44263
2022-09-14 08:00:00,1612.15,1612.48,1584.35,1603.06,38496.6143,64890
2022-09-14 09:00:00,1603.07,1610.55,1596.99,1605.03,17418.2426,35921
2022-09-14 10:00:00,1605.04,1606.4,1594.02,1601.66,16742.2084,31260
2022-09-14 11:00:00,1601.66,1606.55,1583.2,1595.28,27273.6109,39598
2022-09-14 12:00:00,1595.27,1613.41,1586.13,1605.39,59749.8851,69111
2022-09-14 13:00:00,1605.38,1612.49,1590.33,1605.21,45803.1192,62339
2022-09-14 14:00:00,1605.22,1608.65,1587.39,1602.13,59458.5702,63988
2022-09-14 15:00:00,1602.12,1604.0,1591.75,1594.94,26005.1217,41084
2022-09-14 16:00:00,1594.94,1600.72,1581.29,1585.34,40042.709,51786
2022-09-14 17:00:00,1585.34,1602.93,1583.42,1589.3,27821.9393,39944
2022-09-14 18:00:00,1589.31,1594.09,1560.0,1579.06,54036.8119,73097
2022-09-14 19:00:00,1579.07,1600.89,1574.19,1599.81,30132.6518,42903
2022-09-14 20:00:00,1599.82,1604.29,1592.63,1602.56,18852.0925,28954
2022-09-14 21:00:00,1602.56,1621.58,1594.43,1620.36,21026.8509,34128
2022-09-14 22:00:00,1620.36,1646.52,1615.03,1638.9,40910.5109,57209
2022-09-14 23:00:00,1638.91,1647.01,1626.8,1638.39,28652.8947,40619
2022-09-15 00:00:00,1638.4,1655.2,1625.72,1627.98,79519.4864,70613
2022-09-15 01:00:00,1627.99,1630.2,1599.09,1628.91,47246.5225,53469
2022-09-15 02:00:00,1628.91,1628.92,1602.34,1617.08,32204.7676,46565
2022-09-15 03:00:00,1617.07,1618.31,1583.5,1605.53,59142.1972,80816
2022-09-15 04:00:00,1605.53,1612.8,1589.87,1601.44,38575.7294,45822
2022-09-15 05:00:00,1601.45,1621.01,1594.94,1619.99,34949.574,49444
2022-09-15 06:00:00,1619.99,1634.9,1571.5,1599.85,178478.2074,206908
2022-09-15 07:00:00,1599.86,1655.0,1595.5,1636.65,122402.2556,150728
2022-09-15 08:00:00,1636.65,1636.66,1597.72,1607.65,71359.7454,98751
2022-09-15 09:00:00,1607.65,1608.78,1583.84,1589.46,42038.8169,57167
2022-09-15 10:00:00,1589.47,1595.19,1576.3,1584.14,39689.9773,58423
2022-09-15 11:00:00,1584.15,1595.0,1574.46,1591.53,37957.6302,56038
2022-09-15 12:00:00,1591.54,1600.0,1582.79,1588.64,35296.68,61130
